model,r2,rmse,mae,mape,cv_r2_mean,cv_r2_std
XGBoost,0.9233142935407451,4.445273476588703,3.1374159992526915,10.14502110173848,0.9336152516064095,0.006272297459790448
ExtraTrees,0.8900417050878905,5.322985353905458,3.4114495792428494,10.598766316197528,0.9170740126546864,0.01459464259953413
RandomForest,0.8808285415191093,5.541500797715523,3.786725610293996,12.372943141350573,0.9066509244633464,0.01587415766591974
GradientBoosting,0.8807977598117096,5.5422164298173975,4.1006106131847,13.071047378225925,0.9021488484315272,0.014100140843102483
LinearRegression,0.6275416055429021,9.796707832398447,7.745392872421343,29.27629908670394,0.6006356247216253,0.047811132464468754
